Text,Type
comedy,Genre
steve carell paul rudd stephanie szostak,Actor
zack galifiankis,Actor
2010,Year
jim field smith,Director
romantic comedy,Genre
jay baruchel alice eve t j miller,Actor
mike vogel,Actor
2010,Year
jon turteltaub,Director
nicolas cage jay baruchel alfred molina,Actor
teresa palmer,Actor
2010,Year
jorma taccone,Director
action comedy,Genre
will forte kristen wiig val kilmer,Actor
ryan phillippe,Actor
2010,Year
sci fi thriller,Genre
eric balfor donald faison brittany daniel,Actor
scottie thompson,Actor
2010,Year
mike mitchell,Director
animated film,Genre
mike myers cameron diaz,Actor
eddie murphy,Actor
2010,Year
monster film,Genre
joe johnston,Director
academy award for best makeup,Award
2010,Year
centered around the inhabitants of a small iowa town plagued by insanity,Plot
2010,Year
a cia special forces team that was betrayed and left for dead by their superiors,Plot
2010,Year
the story of a 1973 triple crown winner,Plot
2010,Year
diane lane,Actor
john malkovich,Actor
2010,Year
superhero alter ego,Plot
tony stark,Character_Name
once again battling evil and saving the day,Plot
2010,Year
paul w s anderson,Director
milla jovovich,Actor
out to destroy the umbrella corporation,Plot
2010,Year
peter weir,Director
historical drama,Genre
jim sturgess ed harris colin farrell,Actor
mark strong,Actor
2010,Year
peter weir,Director
siberian gulag escapees walking over land 4 000 miles to freedom in india,Plot
2010,Year
rob reiner,Director
romantic comedy,Genre
two totally opposite eighth graders as they start to have feeling for one another,Plot
2010,Year
robert luketic,Director
romantic comedy,Genre
katherine heigl ashton kutcher tom selleck,Actor
catherine o hara,Actor
2010,Year
robert redford,Director
historic crime drama,Genre
robin wright james mcavoy,Actor
tom wilkinson,Actor
2010,Year
robert schwentke,Director
bruce willis helen mirren morgan freeman,Actor
mary louise parker,Actor
2010,Year
romantic comedy,Genre
a man s realization that he was the sperm donor for his best friend s son,Plot
2010,Year
romantic comedy,Genre
a guy and a girl in a cross country relationship,Plot
2010,Year
romantic comedy,Genre
two single adults becoming caregivers to an orphaned girl when their mutual best friends die in an accident,Plot
2010,Year
romantic comedy,Genre
a physical therapist falling for the basketball player she is helping,Plot
2010,Year
romantic comedy,Genre
a new york city couple turning their usually dull lives in for a few thrills,Plot
2010,Year
romantic comedy,Genre
anne hathaway,Actor
maggie murdock,Character_Name
jake gyllenhaal,Actor
jamie randall,Character_Name
2010,Year
romantic comedy,Genre
america ferrera forest whitaker carlos mencia lance gross,Actor
regina king,Actor
2010,Year
romantic crime drama,Genre
russell crowe,Actor
elizabeth banks,Actor
as a married couple,Plot
2010,Year
romantic thriller,Genre
johnny depp angelina jolie paul bettany timothy dalton,Actor
steven berkoff,Actor
2010,Year
sci fi,Genre
centers around the son of a virtual world designer who goes looking for his father,Plot
2010,Year
sequel,Relationship
michael douglas,Actor
gordon gekko,Character_Name
greed is good,Quote
2010,Year
spy comedy,Genre
jackie chan,Actor
retired spy and falls in love with his next door neighbor,Plot
2010,Year
thriller,Genre
set in 1954,Plot
u s marshal,Plot
teddy daniels,Character_Name
investigating the disappearance of a murderess who escaped a mental hospital,Plot
2010,Year
thriller,Genre
russell crowe,Actor
a community college professor attempting to break his wife out of prison,Plot
2010,Year
thriller,Genre
matt damon,Actor
a u s army officer who goes rogue after discovering covert and faulty intelligence,Plot
2010,Year
tony scott,Director
action thriller,Genre
denzel washington rosario dawson,Actor
chris pine,Actor
2010,Year
tyler perry,Director
romantic comedy,Genre
four couples again struggling to save their marriages at their annual retreat,Plot
2010,Year
wes craven,Director
horror,Genre
a serial killer returning to his hometown to stalk children,Plot
2011,Year
action adventure,Genre
a 16 year old girl raised by her father to be the perfect assassin,Plot
2011,Year
action,Genre
a futuristic holy man battling vampires on behalf of a totalitarion organization known as the church,Plot
2011,Year
adventure drama,Genre
depicted six oil workers led by a skilled huntsman after their plane crashed in alaska,Plot
2011,Year
american horror,Genre
a small family moving into a 19 th century rhode island mansion only to find their daughter witnessing paranormal activity,Plot
2011,Year
animated,Genre
seth green joan cusack,Actor
dan fogler,Actor
2011,Year
animated,Genre
johnny depp isla fisher timothy olyphant,Actor
abigail breslin,Actor
2011,Year
bill condon,Director
fantasy,Genre
kristen stewart robert pattinson,Actor
taylor lautner,Actor
2011,Year
cameron crowe,Director
family,Genre
depicts a father moving his young family to the countryside,Plot
2011,Year
cameron crowe,Director
family,Genre
matt damon scarlett johansson,Actor
thomas haden church,Actor
2011,Year
carlos saldanha,Director
animated,Genre
jesse eisenberg anne hathaway,Actor
george lopez,Actor
2011,Year
charles martin smith,Director
family,Genre
morgan freeman ashley judd,Actor
harry connick jr,Actor
2011,Year
comedy,Genre
a man who goes to represent his company at an annual insurance convention,Plot
2011,Year
comedy,Genre
two men peeing in a fountain when lightning strikes and makes them switch bodies,Plot
2011,Year
crime drama,Genre
ryan gosling,Actor
playing a mysterious hollywood stuntman and mechanic,Plot
2011,Year
crime movie,Genre
ryan phillippe,Actor
louis roulet,Character_Name
a man with a foolproof plan to beat the system,Plot
2011,Year
comic superhero,Genre
an alien ring giving a test pilot superpowers,Plot
2011,Year
dennis dugan,Director
romantic comedy,Genre
adam sandler jennifer aniston nicole kidman,Actor
brooklyn decker,Actor
2011,Year
dominic sena,Director
nicolas cage ron perlman claire foy,Actor
stephen campbell moore,Actor
2011,Year
fantasy romance,Genre
love is never ugly,Quote
alex pettyfer,Actor
vanessa hudgens,Actor
2011,Year
farrelly brothers,Director
romantic comedy,Genre
centers around two husbands having difficulties in their marriages,Plot
2011,Year
anne hathaway,Actor
jim sturgess,Actor
based on a book by david nicholls,Origin
2011,Year
gary mckendry,Director
thriller,Genre
jason statham clive owen robert deniro,Actor
dominic purcell,Actor
2011,Year
horror,Genre
centers around two young sisters who befriend an invisible entity residing in their home,Plot
2011,Year
horror,Genre
american seminary student who travels to italy to take an exorcism course,Plot
2011,Year
independent horror,Genre
elizabeth olsen,Actor
about a girl haunted by her parent s abuse,Plot
2011,Year
j j abrams,Director
sci fi thriller,Genre
a group of friends witnessing a train crash during the summer of 1979,Plot
2011,Year
john singleton,Director
taylor lautner,Actor
a young man who sets out to uncover the truth about his life,Plot
2011,Year
jonathan levine,Director
inspired by a true story,Origin
centered on a guy who learns he has cancer,Plot
2011,Year
luke greenfield,Director
romantic comedy,Genre
ginnifer goodwin kate hudson colin egglesfield,Actor
john krasinski,Actor
2011,Year
mark mylod,Director
romantic comedy,Genre
anna faris,Actor
chris evans,Actor
2011,Year
martin scorses,Director
family adventure,Genre
set in 1930 s paris and centers on an orphan living in a train station s walls,Plot
2011,Year
michael dowse,Director
romantic comedy,Genre
topher grace anna faris dan fogler,Actor
teresa palmer,Actor
2011,Year
aspiring author detailing the african american maids point of view on white families during the 1960 s,Plot
2011,Year
ben stiller,Actor
eddie murphy,Actor
climbing a tall structure to steal something,Plot
2011,Year
bradley cooper,Actor
eddie morra,Character_Name
discovers a top secret drug,Plot
2011,Year
political drama,Genre
george clooney,Actor
paul giamatti,Actor
george clooney,Director
2011,Year
romantic comedy,Genre
husband s life change after his wife asks him for a divorce,Plot
2011,Year
romantic comedy,Genre
kristen wiig maya rudolph rose byrne melissa mccarthy,Actor
jill clayburgh,Actor
2011,Year
ron howard,Director
comedy,Genre
a man discovering that his best friend s wife is having an affair,Plot
2011,Year
sci fi action,Genre
justin timberlake,Actor
amanda seyfried,Actor
in a future where people stop aging at 25,Plot
2011,Year
sci fi,Genre
ryan reynolds blake lively peter sarsgaard mark strong,Actor
tim robbins,Actor
2011,Year
sci fi thriller,Genre
there s a reason we ve never gone back to the moon,Quote
2011,Year
steven spielberg,Director
jeremy irvine peter mullan emily watson,Actor
david thewlis,Actor
2011,Year
superhero film,Genre
god of thunder being striped of his power and exiled to earth,Plot
2011,Year
thriller,Genre
based on a fairy tail,Origin
a young woman,Plot
valerie,Character_Name
and her love,Plot
peter,Character_Name
2011,Year
thriller,Genre
dominic toretto,Character_Name
his crew of street racers planning a massive heist,Plot
2011,Year
thriller,Genre
nicolas cage,Actor
a vengeful father chasing after the men who killed his daughter,Plot
2011,Year
thriller,Genre
finds college student sara the victim of a dangerous and violent obsession,Plot
2011,Year
wes craven,Director
horror,Genre
sidney prescott,Actor
visited again by the ghostface killer,Plot
2011,Year
will gluck,Director
romantic comedy,Genre
mila kunis justin timberlake jenna elfman,Actor
patricia clarkson,Actor
2011,Year
woody allen,Director
romantic comedy,Genre
owen wilson rachel mcadams kurt fuller,Actor
kathy bates,Actor
2012,Year
action drama,Genre
centered on a young cia agent tasked with looking after a fugitive,Plot
2012,Year
action,Genre
a homicide detective pushed to the brink of his moral and physical limits,Plot
2012,Year
andrew dominik,Director
thriller,Genre
brad pitt ray liotta richard jenkins,Actor
james gandolfini,Actor
2012,Year
ben affleck,Director
depicts a dramatization of the 1980 operation to free american hostages in iran,Plot
2012,Year
bradley parker,Director
horror,Genre
centers around six tourists who hire a tour guide to take them to an abandoned city,Plot
2012,Year
comedy,Genre
centered around a high school biology teacher who looks to become a successful mixed martial arts fighter,Plot
2012,Year
comedy,Genre
adam sandler,Actor
a father,Plot
andy samberg,Actor
his son,Plot
2012,Year
comedy,Genre
three high school seniors throwing a birthday party to make a name for themselves,Plot
